First Name,Last Name,Mailing Address,Mailing City,Mailing State,Mailing Zip,Property Address,Property City,Property State,Property Zip,Lead Type,Document Type,Date Filed,Document Number,Amount/Debt Owed,Seller Score,Motivated Seller Flags,Source,Public Records URL
URBAN,EDGE BUILDERS LLC,4202 F ST,HOUSTON,TX,77072-5366,4202 F ST,HOUSTON,TX,77072,Lis Pendens,L/P,2026-05-29,RP-2026-210248,,90,Lis pendens; LLC / corp owner; New this week,Harris County Clerk,https://www.cclerk.hctx.netEComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVWGrWvi+sjFtoLlOKI+AQRcztiL9aGrJ7/3O5N1M3C1XEyOryTHzFVgHPe0gJ2W0/AT1mUO+qwhclgwiwBU/6sQxbuAKIa5d3tGSIxvsCFe7luctlXQwfy7dMcEYHZUOkg==
WESTCREEK,VILLAGE COMMUNITY ASSOCIATION INC,7906 GRANITE RIDGE LN,HOUSTON,TX,77095-4207,7906 GRANITE RIDGE LN,HOUSTON,TX,77095,Lis Pendens,L/P,2026-05-28,RP-2026-208056,,90,Lis pendens; LLC / corp owner; New this week,Harris County Clerk,https://www.cclerk.hctx.netEComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVecMNUMPBQ3er1Rk0NQ28t2FuccV7hgjxu0sOtxytY5THH29xRjuPi8PrROtBp1X1BA2iTxaoc8US9avNPumJWm0P9eLMr1SsfeQBKpAmkL6eqhc4P1i3UE3TDxSy2MuhQ==
WESTCREEK,VILLAGE COMMUNITY ASSOCIATION INC,2825 WILCREST DR STE 600,HOUSTON,TX,77042-6007,0 HUDSON OAKS DR,CYPRESS,TX,77095,Lis Pendens,L/P,2026-05-28,RP-2026-208044,,90,Lis pendens; LLC / corp owner; New this week,Harris County Clerk,https://www.cclerk.hctx.netEComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVbDIK7SbHUB1yQhyaBfi8N/XIZimfUBrTPwz5U57c9mWpAVvGaNowR0VzN3sDFqyd+DL02F6/AxvkztUy3eVBmvsYdAM/2VUUPXlY+kPWABLhG+q/dyhtEA8g6UTymNHUQ==
MIDDLEGATE,VILLAGE COMMUNITY ASSOCIATION INC,8406 SPARKLING SPRINGS DR,HOUSTON,TX,77095-3811,8406 SPARKLING SPRINGS DR,HOUSTON,TX,77095,Lis Pendens,L/P,2026-05-28,RP-2026-207989,,90,Lis pendens; LLC / corp owner; New this week,Harris County Clerk,https://www.cclerk.hctx.netEComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVTee85HwQxp3Jsvrk66GJbgXcwgSvSV3KUyn+R56iqNL/SvkLsNn7gA9YcPoH8FW0fMTD28g/70ZhNitIB2nRW5WuBwpW9QGE3iBZQKr5sQB0THBixusV1BkWb/bgxhklQ==
S-G,II OWNERS ASSOCIATION INC,11000 CORPORATE CENTRE DR STE 150,HOUSTON,TX,77041-5179,0 FRY RD,CYPRESS,TX,77433,Lis Pendens,L/P,2026-05-27,RP-2026-207853,,90,Lis pendens; LLC / corp owner; New this week,Harris County Clerk,https://www.cclerk.hctx.netEComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVctloJzyXj2Vx9NKlGLPpo9TcDVGvJ349L6eeLjjTAYUJzVB8x10QfWH6etk4WxXyl+HdfPrn82KKJqPJzBOO9C+ZVIR0P6p4iXjPT/zwR0jmsf3Qv6X55MBqzY7exOXHg==
S-G,II OWNERS ASSOCIATION INC,2502 GRAPE LN,PASADENA,TX,77502-5711,2502 GRAPE LN,PASADENA,TX,77502,Lis Pendens,L/P,2026-05-27,RP-2026-207831,,90,Lis pendens; LLC / corp owner; New this week,Harris County Clerk,https://www.cclerk.hctx.netEComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVSxLA1LOtO7eQdL3D2ZGnQAy3iAw6upxklXvB5SzrJF6N3tbdq/AZTIK4vvWp3IfeWfM9SrJwDcez8V3piuiAkyuqBLAp/DCJOrDTbd/JnOL1EvB+MrfS0S4tdLyUIln+Q==
GREENWOOD,FOREST HOMEOWNERS' ASSOCIATION,5934 OLD LODGE DR,HOUSTON,TX,77066-1518,5934 OLD LODGE DR,HOUSTON,TX,77066,Lis Pendens,L/P,2026-05-27,RP-2026-207830,,90,Lis pendens; LLC / corp owner; New this week,Harris County Clerk,https://www.cclerk.hctx.netEComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVdWFnuJap169ocCSd6CUiOVrbUXAkx5mbZ3WSdDN2VM9D5Ug24BpCgbigb64ANcdAcRLF3hZpJuoxfdxj4ldTn4WWwedJioNhADaezLRLqSsWwz15SLnperxeJgZYY4yQA==
WESTCREEK,VILLAGE COMMUNITY ASSOCIATION INC,2825 WILCREST DR STE 600,HOUSTON,TX,77042-6007,0 HUDSON OAKS DR,CYPRESS,TX,77095,Lis Pendens,L/P,2026-05-27,RP-2026-207827,,90,Lis pendens; LLC / corp owner; New this week,Harris County Clerk,https://www.cclerk.hctx.netEComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVQDiGkhFvCoQb9RQ2x+JkT+KelGLF59+j56VQqqPJT2agr8J8etqLxgXf99/EU0srvl63Muo+YJm4jDc+fW0z7DE7HuwqFgnETEjDdnsoHQkrreN2LRhxgP0Oq6hqXPDgA==
S-G,II OWNERS ASSOCIATION INC,20246 FOSSIL VALLEY LN,CYPRESS,TX,77433-5185,20246 FOSSIL VALLEY LN,CYPRESS,TX,77433,Lis Pendens,L/P,2026-05-27,RP-2026-207825,,90,Lis pendens; LLC / corp owner; New this week,Harris County Clerk,https://www.cclerk.hctx.netEComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVfPZTNnM8gWCwxaqyVBD1ats5ttXRfAsiLONskJamI69PqxfIH43bXOpg67EyJhCghp+Vf2ZdIyNlzelqj0YGdWfLz62vEf2L4EFjdoW+Ren1POnG6y5IzmSCZwc1SXXuQ==
FOREST,NORTH COMMUNITY IMPROVEMENT ASSOCIATION,3611 ACORNRUN LN,SPRING,TX,77389-4721,3611 ACORNRUN LN,SPRING,TX,77389,Lis Pendens,L/P,2026-05-27,RP-2026-207822,,90,Lis pendens; LLC / corp owner; New this week,Harris County Clerk,https://www.cclerk.hctx.netEComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVdEJDfm5S1meZLrGhO1h03DhY1R0BrCyx5H7Y6e1FXE+FcLjSniZh4k2KjmuJPG0s0dxfLpj8hMhn8NgEnLEapuPVsh+roRmgWArWS0z9QMSpbmIrxtLzmsPQfY2a76KIA==
FLEETWOOD,PROPERTY OWNERS ASSOCIATION INC,918 DARIA DR,HOUSTON,TX,77079-5022,918 DARIA DR,HOUSTON,TX,77079,Lis Pendens,L/P,2026-05-27,RP-2026-207765,,90,Lis pendens; LLC / corp owner; New this week,Harris County Clerk,https://www.cclerk.hctx.netEComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVWrTPpylO+7BWHp4Oyhnm2euOuckS1OwdKzjRlRqLSwFRyo3FGBucogB29S7Z99WwnE75d1A7SVZ6/11aLNqMkgz2bRhO2Mf/zk7OIizaP12uFEx1Z3iynXZNpZ65qztbQ==
WILDFLOWER,GREEN HOMEOWNERS ASSOCIATION,11467 BEECHNUT ST UNIT 1467,HOUSTON,TX,77072-4213,11467 BEECHNUT ST,HOUSTON,TX,77072,Lis Pendens,L/P,2026-05-27,RP-2026-207704,,90,Lis pendens; LLC / corp owner; New this week,Harris County Clerk,https://www.cclerk.hctx.netEComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVSS6goF7EyU/SwzVBCGIRhQUGjV4xZcwpb1mGaCCy+cfwvGX10W19zv/4quFNOTCJRVA5DKai59wf9kCaAQgCnlbSyKcX/VKJ63f/l9p8bi9rTxI8CUApMaSWeMZ04CT4w==
FOREST,NORTH COMMUNITY IMPROVEMENT ASSOCIATION,3327 PEACHSTONE PL,SPRING,TX,77389-4757,3327 PEACHSTONE PL,SPRING,TX,77389,Lis Pendens,L/P,2026-05-27,RP-2026-207698,,90,Lis pendens; LLC / corp owner; New this week,Harris County Clerk,https://www.cclerk.hctx.netEComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVd0KbkJDZacXep9iS+D2YAsJGdiXPbn4cvN+VzCThfHutOn7nr7E2npwAaKZXlB6zWBe4wfVTRav943qi7aJxbhcpm6HXNFO5kOtZWresFsVYPUymy0lkktH42ZjR7/Esw==
PARK,ROW VILLAGE HOMEOWNERS ASSOCIATION INC,1519 PARKLAND OAK DR,HOUSTON,TX,77084-1375,1519 PARKLAND OAK DR,HOUSTON,TX,77084,Lis Pendens,L/P,2026-05-27,RP-2026-207580,,90,Lis pendens; LLC / corp owner; New this week,Harris County Clerk,https://www.cclerk.hctx.netEComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVZaium7weYskGoS3HW0/O47ZZDZZj1a54+nNZZ3R8aRXxRFeU1cpPUeSTCTOr2xp663DyxYirvwigTQqwOvrH0z//FYNen2k8XBHOS9HFhIWLzrpWiksx5FlJ1+91gYxvw==
GRAND,OAKS HOMEOWNERS ASSOCIATION INC,6823 KRAUSE DR,MISSOURI CITY,TX,77489-3436,4815 HIDDEN CHESTNUT LN,HOUSTON,TX,77084,Lis Pendens,L/P,2026-05-27,RP-2026-207546,,90,Lis pendens; LLC / corp owner; New this week,Harris County Clerk,https://www.cclerk.hctx.netEComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVa7UcneMB736qXaffB2rcpbVmP/cmYkWepqqw034O4dPAAo/mSsaJQpzCfMppfjZhIiCt7V/NY/oHy3vQehDac4fi3Co33bUMVYaLaJf0iv+XkvsojQg7bxC6mnIo3XkzQ==
STABLEWOOD,FARMS COMMUNITY ASSOCIATION INC,16690 PARK ROW,HOUSTON,TX,77084-5019,0 STABLEPOINT LN,CYPRESS,TX,77429,Lis Pendens,L/P,2026-05-26,RP-2026-205157,,90,Lis pendens; LLC / corp owner; New this week,Harris County Clerk,https://www.cclerk.hctx.netEComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVWQ7mI24GW9S5/6otOQCPSqt5phjlIPWY/cwpvDOOu6ilPriEMdJ6z8F/zRw4GebZZ8Nz4IIPv1+di3V28t97CrcTUl7A2bRIn/3KVq56rzAroJhRBIMDfdxdHcMv/JN9A==
NORTH,BRIAR COMMUNITY ASSOCIATION INC,11902 DREXEL HILL DR,HOUSTON,TX,77077-3010,11902 DREXEL HILL DR,HOUSTON,TX,77077,Lis Pendens,L/P,2026-05-26,RP-2026-204332,,90,Lis pendens; LLC / corp owner; New this week,Harris County Clerk,https://www.cclerk.hctx.netEComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVYCP+yZfOKW2qNcGuqOT07fgoTUUsl2nv1trC27Xq7YmKyUJ/jskqSxWNu0p42n96MqboETAdBmygOZMjNegrycnX+alBJACCCcFN5CIAfsfXrjXnCWvJRW0609w0JrGTw==
U,S HOME LLC,550 GREENS PKWY STE 200,HOUSTON,TX,77067-4538,5315 INGOMAR WAY,HOUSTON,TX,77053,Notice of Foreclosure / Trustee Sale,NOTICE,2026-06-01,RP-2026-213195,,90,Pre-foreclosure; LLC / corp owner; New this week,Harris County Clerk,https://www.cclerk.hctx.netEComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVRCJr77nQQIe1JBr3uP/5Al5BxoObE60DM4U6e4Zxh0W2L2t5NpgYpDuwHZKIM5GH584C2nK9x2JHmJAcv+mCKHM8FazmXQTGfp3QDciiGJW4PAvX9N1mwNV6QDsQwLwEQ==
D,R HORTON INC,400 CARRIAGE HILLS BLVD,CONROE,TX,77384-3607,0 W LAKE HOUSTON PKY,HOUSTON,TX,77044,Notice of Foreclosure / Trustee Sale,NOTICE,2026-06-01,RP-2026-213164,,90,Pre-foreclosure; LLC / corp owner; New this week,Harris County Clerk,https://www.cclerk.hctx.netEComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVfZilqqzmYLZGICmMmSCyJNADV/VHfMzcnVTFkq+++Yl1KC7zHjst2bOuKCAMnsf2T3vWL4XhIEQyMHWhZCzaMAq9f/Bvwr8ML9R4PJ07+carp2/WuNsZ5LlvUGyKuVQyQ==
U,S HOME LLC,550 GREENS PKWY STE 200,HOUSTON,TX,77067-4538,5315 INGOMAR WAY,HOUSTON,TX,77053,Notice of Foreclosure / Trustee Sale,NOTICE,2026-06-01,RP-2026-213161,,90,Pre-foreclosure; LLC / corp owner; New this week,Harris County Clerk,https://www.cclerk.hctx.netEComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVSSYDwiyjFV0jKWbxxYhQqukTLy8NpkUxAREBfLim9oNjzfcf03MTlLwSSmL98q4pvZROrE5iKpcQOy0bUL1Lwwm10cq1yl09KD4toDWnVkKVtTirLiHsBtf+zGj+rEEpA==
U,S HOME LLC,550 GREENS PKWY STE 200,HOUSTON,TX,77067-4538,5315 INGOMAR WAY,HOUSTON,TX,77053,Notice of Foreclosure / Trustee Sale,NOTICE,2026-06-01,RP-2026-213158,,90,Pre-foreclosure; LLC / corp owner; New this week,Harris County Clerk,https://www.cclerk.hctx.netEComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVVyRgWcFwSVV2JXAqkrsgT22ZA+ttBALL21SLhOrOo9N4cpZVLG3mZTMdT/CIsTyUBMBRLzEPGggodbNKAxDrlKqAPeYqtqfQTDTADIx3xUjFam0p4p7DtOD0LYpzr7cCA==
U,S HOME LLC,550 GREENS PKWY STE 200,HOUSTON,TX,77067-4538,5315 INGOMAR WAY,HOUSTON,TX,77053,Notice of Foreclosure / Trustee Sale,NOTICE,2026-06-01,RP-2026-213157,,90,Pre-foreclosure; LLC / corp owner; New this week,Harris County Clerk,https://www.cclerk.hctx.netEComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVdmPUpX5TDE5AN37pSj717eWW0yW5qkuoZRrYDpklOTblwzbXxLInZPV+FpJYT5u+9Jabqn3wK9MGQUmwg0mAhhlIuTbxYvlqJRCiy5Wtppe/tJ6W32C1+DjevbboECpPA==
U,S HOME LLC,550 GREENS PKWY STE 200,HOUSTON,TX,77067-4538,5315 INGOMAR WAY,HOUSTON,TX,77053,Notice of Foreclosure / Trustee Sale,NOTICE,2026-06-01,RP-2026-213154,,90,Pre-foreclosure; LLC / corp owner; New this week,Harris County Clerk,https://www.cclerk.hctx.netEComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVenQAHrFH85thZ4tHwZXO53gvg8HIyaHqfy5jvicXAB7iiwWY72eSTzdK+HcOpQJ/gfhVRwZVSIGDMMgRMIPhJMuBwfD2ZCO3wScY6xOfarg7pLwJauFPxZUkq+LNr7MMQ==
JG,HOLLINS INVESTMENT INC,4414 OLD YALE ST,HOUSTON,TX,77018-4506,5500 YALE ST,HOUSTON,TX,77091,Notice of Foreclosure / Trustee Sale,NOTICE,2026-06-01,RP-2026-213150,,90,Pre-foreclosure; LLC / corp owner; New this week,Harris County Clerk,https://www.cclerk.hctx.netEComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVa3jPMRrb5OJF012+th890FP9tJcVhRl1tqnkkoEs4d7He3zOgtmOo1VUX4WuBib5BIeunFlm/359swPpafYCCfD/tBJ8rsONohk/U5fbEzowjVFrm5iwPKvwXKMUCbfDQ==
U,S HOME LLC,550 GREENS PKWY STE 200,HOUSTON,TX,77067-4538,5315 INGOMAR WAY,HOUSTON,TX,77053,Notice of Foreclosure / Trustee Sale,NOTICE,2026-06-01,RP-2026-213139,,90,Pre-foreclosure; LLC / corp owner; New this week,Harris County Clerk,https://www.cclerk.hctx.netEComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVYrbzKfOIlrDBDrsfp0OeOfqbsytnjsN3MSytX8rzH70Y8m0kP8WLHaMJ65KJV2oHwHV0lVtJBm/H38aK+A88hvh4SG5Gin9zHm0YH9a1BJ60CFo8WpSf4KKRLXR8cRgrQ==
U,S HOME LLC,550 GREENS PKWY STE 200,HOUSTON,TX,77067-4538,5315 INGOMAR WAY,HOUSTON,TX,77053,Notice of Foreclosure / Trustee Sale,NOTICE,2026-06-01,RP-2026-213134,,90,Pre-foreclosure; LLC / corp owner; New this week,Harris County Clerk,https://www.cclerk.hctx.netEComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVSWmYsGc3nz+IA2Z5ANCb01UwkWzVrWf5Exbff+SbHlqMMQ37PsX5oRp/gx3/+GGmXKb1wjXvwCRgoEsx4BOCy1Ff3TbZ/XDWwKqLY7XQSQSXCxf6zKonaamgg7rysIC4g==
U,S HOME LLC,550 GREENS PKWY STE 200,HOUSTON,TX,77067-4538,5315 INGOMAR WAY,HOUSTON,TX,77053,Notice of Foreclosure / Trustee Sale,NOTICE,2026-06-01,RP-2026-213131,,90,Pre-foreclosure; LLC / corp owner; New this week,Harris County Clerk,https://www.cclerk.hctx.netEComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVX0FhdNlnoNfr+vbeMQYfNV9hrcauXKsBwL4SIEpmXszmWX2eIf+K2ui338oJg5sxsPE8c2ZcQgSab7XopKOmd1Crj+vM2VrZQrP9/4jix04u/lemf5AHs9LDfyz6YLSQA==
U,S HOME LLC,550 GREENS PKWY STE 200,HOUSTON,TX,77067-4538,5315 INGOMAR WAY,HOUSTON,TX,77053,Notice of Foreclosure / Trustee Sale,NOTICE,2026-06-01,RP-2026-213128,,90,Pre-foreclosure; LLC / corp owner; New this week,Harris County Clerk,https://www.cclerk.hctx.netEComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVRi/edZm49+OtpM1wJM+2o0ds8DBHQMuW8OVO+QcabBoApG4qgUCkb2pyq+8Y9Y043l60yd3hFlWPdPAlx85OeQ9QqwUAAdJtz2IfVJWr98kymEZIkEjphhMp2uM23yMKQ==
U,S HOME LLC,550 GREENS PKWY STE 200,HOUSTON,TX,77067-4538,5315 INGOMAR WAY,HOUSTON,TX,77053,Notice of Foreclosure / Trustee Sale,NOTICE,2026-06-01,RP-2026-213125,,90,Pre-foreclosure; LLC / corp owner; New this week,Harris County Clerk,https://www.cclerk.hctx.netEComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVWfAHd5Lk2MCXV5V4Lc6JpBGIGRseSTswCjXgRybSZwNv9KtII5Rz3qLwUOKvwwOqAgvhglOhdZ0ERStCwHjuDDX7nMHRpwstYq+EZkFZx/x3UxS5zux8vT+DI5WqHaHbA==
U,S HOME LLC,550 GREENS PKWY STE 200,HOUSTON,TX,77067-4538,5315 INGOMAR WAY,HOUSTON,TX,77053,Notice of Foreclosure / Trustee Sale,NOTICE,2026-06-01,RP-2026-213121,,90,Pre-foreclosure; LLC / corp owner; New this week,Harris County Clerk,https://www.cclerk.hctx.netEComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVTHyvaYffBSNiiwXre6Gj53MN9/rJ/4PblufMiKDhymh2rBBhdg+j+mcpG9YXePeQhmGFWwCp5evF++jU52aQIeDOrERX3TsnRs6Pf4t/2Wiqr+B/aYz9a8L7Wkud8mOyw==
U,S HOME LLC,550 GREENS PKWY STE 200,HOUSTON,TX,77067-4538,5315 INGOMAR WAY,HOUSTON,TX,77053,Notice of Foreclosure / Trustee Sale,NOTICE,2026-06-01,RP-2026-213116,,90,Pre-foreclosure; LLC / corp owner; New this week,Harris County Clerk,https://www.cclerk.hctx.netEComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVXeT6Wcev7GzzNu/sdak6CRyPn/6uTxgOrUGo1x6ZBjELucOENEO+v3fc5+St8AQiZIBV7jO12Qx0xEz5vN0/GTrkSZmGzDbjmX3SegwrYDZNiCWHGErJZstBxoZobSt3A==
